Gene,Species,Chromosome,Type,Type_Start,Type_End
DRD4,Homo sapiens,11,Neurod2,638965,638971
DRD4,Homo sapiens,11,Neurod2,638978,638984
DRD4,Homo sapiens,11,MAFA,638979,638992
DRD4,Homo sapiens,11,SOX10,639088,639094
DRD4,Homo sapiens,11,SOX10,639090,639096
DRD4,Homo sapiens,11,SOX10,639100,639106
DRD4,Homo sapiens,11,Neurod2,639106,639112
DRD4,Homo sapiens,11,Neurod2,639126,639132
DRD4,Homo sapiens,11,STAT3,639134,639143
DRD4,Homo sapiens,11,Neurod2,639138,639144
DRD4,Homo sapiens,11,STAT3,639184,639193
DRD4,Homo sapiens,11,Neurod2,639223,639229
DRD4,Homo sapiens,11,MAFA,639229,639242
DRD4,Homo sapiens,11,SOX10,639234,639240
DRD4,Homo sapiens,11,SOX10,639257,639263
DRD4,Homo sapiens,11,STAT3,639288,639297
DRD4,Homo sapiens,11,Neurod2,639318,639326
DRD4,Homo sapiens,11,NEUROD1,639318,639326
DRD4,Homo sapiens,11,Neurod2,639319,639325
DRD4,Homo sapiens,11,STAT3,639355,639364
DRD4,Homo sapiens,11,SOX10,639379,639385
DRD4,Homo sapiens,11,STAT3,639394,639403
DRD4,Homo sapiens,11,Neurod2,639450,639456
DRD4,Homo sapiens,11,Neurod2,639511,639519
DRD4,Homo sapiens,11,NEUROD1,639511,639519
DRD4,Homo sapiens,11,Neurod2,639529,639537
DRD4,Homo sapiens,11,NEUROD1,639529,639537
DRD4,Homo sapiens,11,Neurod2,639541,639549
DRD4,Homo sapiens,11,NEUROD1,639541,639549
DRD4,Homo sapiens,11,Neurod2,639542,639548
DRD4,Homo sapiens,11,Neurod2,639666,639672
DRD4,Homo sapiens,11,Neurod2,639701,639709
DRD4,Homo sapiens,11,NEUROD1,639701,639709
DRD4,Homo sapiens,11,Neurod2,639702,639708
DRD4,Homo sapiens,11,Neurod2,639705,639711
DRD4,Homo sapiens,11,Neurod2,639729,639735
DRD4,Homo sapiens,11,MAFA,639762,639775
DRD4,Homo sapiens,11,Neurod2,639873,639879
DRD4,Homo sapiens,11,Neurod2,639933,639939
DRD4,Homo sapiens,11,MAFA,639954,639967
DRD4,Homo sapiens,11,Neurod2,639962,639968
DRD4,Homo sapiens,11,Neurod2,640171,640179
DRD4,Homo sapiens,11,NEUROD1,640171,640179
DRD4,Homo sapiens,11,Neurod2,640172,640178
DRD4,Homo sapiens,11,STAT3,640250,640259
DRD4,Homo sapiens,11,Neurod2,640358,640364
DRD4,Homo sapiens,11,Neurod2,640407,640415
DRD4,Homo sapiens,11,NEUROD1,640407,640415
DRD4,Homo sapiens,11,Neurod2,640408,640414
DRD4,Homo sapiens,11,SOX10,640428,640434
DRD4,Homo sapiens,11,SOX10,640453,640459
DRD4,Homo sapiens,11,Neurod2,640480,640486
DRD4,Homo sapiens,11,Neurod2,640497,640503
DRD4,Homo sapiens,11,Neurod2,640593,640599
DRD4,Homo sapiens,11,Neurod2,640596,640602
DRD4,Homo sapiens,11,Neurod2,640629,640637
DRD4,Homo sapiens,11,NEUROD1,640629,640637
DRD4,Homo sapiens,11,SOX10,640650,640656
DRD4,Homo sapiens,11,Neurod2,640655,640663
DRD4,Homo sapiens,11,NEUROD1,640655,640663
DRD4,Homo sapiens,11,SOX10,640672,640678
DRD4,Homo sapiens,11,SOX10,640689,640695
DRD4,Homo sapiens,11,STAT3,640698,640707
CHRNA6,Homo sapiens,8,PGR,42752611,42752620
CHRNA6,Homo sapiens,8,GRHL2,42752613,42752621
CHRNA6,Homo sapiens,8,GRHL1,42752613,42752623
CHRNA6,Homo sapiens,8,GRHL2,42752614,42752622
CHRNA6,Homo sapiens,8,PGR,42752645,42752654
CHRNA6,Homo sapiens,8,PRRX1,42752646,42752652
CHRNA6,Homo sapiens,8,PRRX1,42752659,42752665
CHRNA6,Homo sapiens,8,DPRX,42752659,42752668
CHRNA6,Homo sapiens,8,OTX1,42752662,42752668
CHRNA6,Homo sapiens,8,OTX2,42752662,42752669
CHRNA6,Homo sapiens,8,OTX1,42752683,42752689
CHRNA6,Homo sapiens,8,PRRX1,42752683,42752689
CHRNA6,Homo sapiens,8,Prdm15,42752704,42752715
CHRNA6,Homo sapiens,8,PRRX1,42752705,42752711
CHRNA6,Homo sapiens,8,PGR,42752726,42752735
CHRNA6,Homo sapiens,8,GRHL2,42752738,42752746
CHRNA6,Homo sapiens,8,PRRX2,42752763,42752770
CHRNA6,Homo sapiens,8,PRRX1,42752764,42752770
CHRNA6,Homo sapiens,8,MZF1,42752765,42752773
CHRNA6,Homo sapiens,8,GRHL2,42752778,42752786
CHRNA6,Homo sapiens,8,DPRX,42752791,42752800
CHRNA6,Homo sapiens,8,OTX1,42752794,42752800
CHRNA6,Homo sapiens,8,OTX2,42752794,42752801
CHRNA6,Homo sapiens,8,PRDM1,42752801,42752808
CHRNA6,Homo sapiens,8,PRRX2,42752853,42752860
CHRNA6,Homo sapiens,8,PRRX1,42752854,42752860
CHRNA6,Homo sapiens,8,PRRX2,42752854,42752861
CHRNA6,Homo sapiens,8,PROP1,42752854,42752865
CHRNA6,Homo sapiens,8,PRRX2,42752861,42752868
CHRNA6,Homo sapiens,8,PRRX1,42752862,42752868
CHRNA6,Homo sapiens,8,PRRX2,42752862,42752869
CHRNA6,Homo sapiens,8,OTX1,42752878,42752884
CHRNA6,Homo sapiens,8,Prdm14,42752889,42752897
CHRNA6,Homo sapiens,8,PRDM1,42752917,42752924
CHRNA6,Homo sapiens,8,GRHL2,42752921,42752929
CHRNA6,Homo sapiens,8,GRHL2,42752926,42752934
CHRNA6,Homo sapiens,8,EGR1,42752941,42752951
CHRNA6,Homo sapiens,8,MAFA,42752948,42752961
CHRNA6,Homo sapiens,8,PRRX2,42752954,42752961
CHRNA6,Homo sapiens,8,PRRX1,42752955,42752961
CHRNA6,Homo sapiens,8,Prdm14,42752961,42752969
CHRNA6,Homo sapiens,8,OTX1,42752967,42752973
CHRNA6,Homo sapiens,8,PRRX1,42752967,42752973
CHRNA6,Homo sapiens,8,Prdm5,42752987,42752998
CHRNA6,Homo sapiens,8,PRDM9,42752987,42753007
CHRNA6,Homo sapiens,8,OTX1,42753026,42753032
CHRNA6,Homo sapiens,8,PRRX1,42753026,42753032
CHRNA6,Homo sapiens,8,PRDM1,42753034,42753041
CHRNA6,Homo sapiens,8,PRDM1,42753045,42753052
CHRNA6,Homo sapiens,8,Prdm5,42753073,42753084
CHRNA6,Homo sapiens,8,MZF1,42753077,42753085
CHRNA6,Homo sapiens,8,EGR4,42753085,42753096
CHRNA6,Homo sapiens,8,Lef1,42753096,42753104
CHRNA6,Homo sapiens,8,Prdm5,42753123,42753134
CHRNA6,Homo sapiens,8,PGR,42753136,42753145
CHRNA6,Homo sapiens,8,Prdm14,42753142,42753150
CHRNA6,Homo sapiens,8,PRRX1,42753149,42753155
CHRNA6,Homo sapiens,8,Lef1,42753161,42753169
CHRNA6,Homo sapiens,8,OTX1,42753181,42753187
CHRNA6,Homo sapiens,8,PRRX2,42753197,42753204
CHRNA6,Homo sapiens,8,PRRX2,42753230,42753237
CHRNA6,Homo sapiens,8,PRRX2,42753242,42753249
CHRNA6,Homo sapiens,8,OTX1,42753243,42753249
CHRNA6,Homo sapiens,8,PRRX1,42753243,42753249
CHRNA6,Homo sapiens,8,PRRX2,42753243,42753250
CHRNA6,Homo sapiens,8,PRRX1,42753249,42753255
CHRNA6,Homo sapiens,8,MZF1,42753251,42753259
CHRNA6,Homo sapiens,8,PGR,42753264,42753273
CHRNA6,Homo sapiens,8,EGR2,42753281,42753292
CHRNA6,Homo sapiens,8,PRRX2,42753324,42753331
CHRNA6,Homo sapiens,8,OTX1,42753325,42753331
CHRNA6,Homo sapiens,8,PRRX1,42753325,42753331
CHRNA6,Homo sapiens,8,OTX1,42753329,42753335
CHRNA6,Homo sapiens,8,PRRX1,42753379,42753385
CHRNA6,Homo sapiens,8,OTX1,42753382,42753388
CHRNA6,Homo sapiens,8,GRHL2,42753383,42753391
CHRNA6,Homo sapiens,8,OTX1,42753404,42753410
CHRNA6,Homo sapiens,8,PRDM1,42753406,42753413
CHRNA6,Homo sapiens,8,DPRX,42753431,42753440
CHRNA6,Homo sapiens,8,EGR2,42753439,42753450
CHRNA6,Homo sapiens,8,EGR3,42753439,42753450
CHRNA6,Homo sapiens,8,EGR4,42753439,42753450
CHRNA6,Homo sapiens,8,EGR1,42753440,42753450
CHRNA6,Homo sapiens,8,OTX2,42753447,42753454
CHRNA6,Homo sapiens,8,OTX1,42753448,42753454
CHRNA6,Homo sapiens,8,DPRX,42753448,42753457
CHRNA6,Homo sapiens,8,PGR,42753487,42753496
CHRNA6,Homo sapiens,8,PGR,42753495,42753504
CHRNA6,Homo sapiens,8,PRDM1,42753500,42753507
CHRNA6,Homo sapiens,8,Prdm14,42753501,42753509
CHRNA6,Homo sapiens,8,OTX1,42753551,42753557
CHRNA6,Homo sapiens,8,OTX2,42753551,42753558
CHRNA6,Homo sapiens,8,OTX1,42753587,42753593
CHRNA6,Homo sapiens,8,Prdm15,42753590,42753601
CHRNA6,Homo sapiens,8,OTX1,42753591,42753597
CHRNA6,Homo sapiens,8,OTX2,42753591,42753598
CHRNA6,Homo sapiens,8,PRDM9,42753596,42753616
CHRNA6,Homo sapiens,8,OTX1,42753616,42753622
CHRNA6,Homo sapiens,8,OTX1,42753623,42753629
CHRNA6,Homo sapiens,8,PRDM1,42753656,42753663
CHRNA6,Homo sapiens,8,OTX1,42753659,42753665
CHRNA6,Homo sapiens,8,PRRX1,42753676,42753682
CHRNA6,Homo sapiens,8,PRRX1,42753679,42753685
CHRNA6,Homo sapiens,8,PRRX1,42753680,42753686
CHRNA6,Homo sapiens,8,PRRX1,42753686,42753692
CHRNA6,Homo sapiens,8,PRRX1,42753692,42753698
CHRNA6,Homo sapiens,8,PRRX2,42753710,42753717
CHRNA6,Homo sapiens,8,OTX1,42753718,42753724
CHRNA6,Homo sapiens,8,OTX2,42753718,42753725
CHRNA6,Homo sapiens,8,Prdm15,42753721,42753732
CHRNA6,Homo sapiens,8,PROX1,42753745,42753757
CHRNA6,Homo sapiens,8,PRRX1,42753749,42753755
CHRNA6,Homo sapiens,8,PGR,42753749,42753758
CHRNA6,Homo sapiens,8,PGR,42753780,42753789
CHRNA6,Homo sapiens,8,MAFA,42753804,42753817
CHRNA6,Homo sapiens,8,OTX1,42753819,42753825
CHRNA6,Homo sapiens,8,PRDM1,42753848,42753855
CHRNA6,Homo sapiens,8,MZF1,42753943,42753951
CHRNA6,Homo sapiens,8,PRDM9,42753965,42753985
CHRNA6,Homo sapiens,8,PRDM9,42753972,42753992
CHRNA6,Homo sapiens,8,EGR1,42753973,42753983
CHRNA6,Homo sapiens,8,PRDM9,42753981,42754001
CHRNA6,Homo sapiens,8,PRRX1,42753999,42754005
CHRNA6,Homo sapiens,8,Prdm5,42753999,42754010
CHRNA6,Homo sapiens,8,GRHL2,42754007,42754015
CHRNA6,Homo sapiens,8,PRDM1,42754012,42754019
CHRNA6,Homo sapiens,8,OTX2,42754019,42754026
CHRNA6,Homo sapiens,8,OTX1,42754020,42754026
CHRNA6,Homo sapiens,8,Lef1,42754041,42754049
CHRNA6,Homo sapiens,8,Prdm5,42754057,42754068
CHRNA6,Homo sapiens,8,GRHL2,42754065,42754073
CHRNA6,Homo sapiens,8,PRDM1,42754075,42754082
CHRNA6,Homo sapiens,8,Prdm14,42754132,42754140
CHRNA6,Homo sapiens,8,PRRX1,42754140,42754146
CHRNA6,Homo sapiens,8,PRRX2,42754140,42754147
CHRNA6,Homo sapiens,8,GRHL2,42754141,42754149
CHRNA6,Homo sapiens,8,OTX2,42754149,42754156
CHRNA6,Homo sapiens,8,OTX1,42754150,42754156
CHRNA6,Homo sapiens,8,PRRX1,42754150,42754156
CHRNA6,Homo sapiens,8,OTX1,42754154,42754160
CHRNA6,Homo sapiens,8,OTX2,42754176,42754183
CHRNA6,Homo sapiens,8,OTX1,42754177,42754183
CHRNA6,Homo sapiens,8,PRRX1,42754177,42754183
CHRNA6,Homo sapiens,8,PGR,42754186,42754195
CHRNA6,Homo sapiens,8,Prdm14,42754195,42754203
CHRNA6,Homo sapiens,8,GRHL2,42754199,42754207
CHRNA6,Homo sapiens,8,PGR,42754200,42754209
CHRNA6,Homo sapiens,8,OTX2,42754202,42754209
CHRNA6,Homo sapiens,8,OTX1,42754203,42754209
CHRNA6,Homo sapiens,8,OTX1,42754241,42754247
CHRNA6,Homo sapiens,8,OTX1,42754248,42754254
CHRNA6,Homo sapiens,8,Prdm4,42754259,42754270
CHRNA6,Homo sapiens,8,OTX1,42754281,42754287
CHRNA6,Homo sapiens,8,OTX2,42754281,42754288
CHRNA6,Homo sapiens,8,MZF1,42754282,42754290
CHRNA6,Homo sapiens,8,PRDM9,42754283,42754303
CHRNA6,Homo sapiens,8,OTX1,42754291,42754297
CHRNA6,Homo sapiens,8,OTX1,42754294,42754300
CHRNA6,Homo sapiens,8,EGR1,42754298,42754308
CHRNA6,Homo sapiens,8,EGR2,42754298,42754309
CHRNA6,Homo sapiens,8,GRHL2,42754317,42754325
CHRNA6,Homo sapiens,8,PRRX1,42754329,42754335
CHRNA6,Homo sapiens,8,PROP1,42754329,42754340
CHRNA6,Homo sapiens,8,PRRX1,42754339,42754345
CHRNA6,Homo sapiens,8,PROP1,42754339,42754350
CHRNA6,Homo sapiens,8,PRRX1,42754354,42754360
CHRNA6,Homo sapiens,8,Prdm14,42754360,42754368
CHRNA6,Homo sapiens,8,PGR,42754364,42754373
CHRNA6,Homo sapiens,8,Prdm14,42754383,42754391
CHRNA6,Homo sapiens,8,OTX1,42754398,42754404
CHRNA6,Homo sapiens,8,PRRX1,42754402,42754408
CHRNA6,Homo sapiens,8,PRRX1,42754410,42754416
CHRNA6,Homo sapiens,8,PRDM9,42754412,42754432
CHRNA6,Homo sapiens,8,PRRX2,42754441,42754448
CHRNA6,Homo sapiens,8,OTX1,42754442,42754448
CHRNA6,Homo sapiens,8,PRRX1,42754442,42754448
CHRNA6,Homo sapiens,8,PRRX2,42754442,42754449
CHRNA6,Homo sapiens,8,PRRX2,42754471,42754478
CHRNA6,Homo sapiens,8,OTX1,42754472,42754478
CHRNA6,Homo sapiens,8,PRRX1,42754472,42754478
CHRNA6,Homo sapiens,8,PRRX2,42754472,42754479
CHRNA6,Homo sapiens,8,Prdm14,42754490,42754498
CHRNA6,Homo sapiens,8,PRDM1,42754492,42754499
CHRNA6,Homo sapiens,8,PRRX1,42754510,42754516
CHRNA6,Homo sapiens,8,Prdm14,42754535,42754543
CHRNA6,Homo sapiens,8,PGR,42754576,42754585
CHRNA6,Homo sapiens,8,IRF8,42754607,42754620
CHRNA6,Homo sapiens,8,Prdm4,42754612,42754623
CHRNA6,Homo sapiens,8,PRDM1,42754627,42754634
CHRNA6,Homo sapiens,8,Prdm4,42754674,42754685
CHRNA6,Homo sapiens,8,Prdm14,42754676,42754684
CHRNA6,Homo sapiens,8,PROX1,42754695,42754707
CHRNA6,Homo sapiens,8,PGR,42754719,42754728
CHRNA6,Homo sapiens,8,PRRX1,42754731,42754737
CHRNA6,Homo sapiens,8,PRRX2,42754731,42754738
CHRNA6,Homo sapiens,8,PRRX1,42754740,42754746
CHRNA6,Homo sapiens,8,PGR,42754779,42754788
CHRNA6,Homo sapiens,8,PRRX1,42754790,42754796
CHRNA6,Homo sapiens,8,PRRX2,42754790,42754797
CHRNA6,Homo sapiens,8,MZF1,42754842,42754850
CHRNA6,Homo sapiens,8,OTX1,42754845,42754851
CHRNA6,Homo sapiens,8,PRRX1,42754848,42754854
CHRNA6,Homo sapiens,8,OTX1,42754865,42754871
CHRNA6,Homo sapiens,8,OTX2,42754865,42754872
CHRNA6,Homo sapiens,8,MZF1,42754866,42754874
CHRNA6,Homo sapiens,8,EGR1,42754941,42754951
CHRNA6,Homo sapiens,8,PRRX1,42754968,42754974
CHRNA6,Homo sapiens,8,PRDM1,42754970,42754977
CHRNA6,Homo sapiens,8,Prdm5,42754971,42754982
CHRNA6,Homo sapiens,8,PRDM1,42754994,42755001
CHRNA6,Homo sapiens,8,PRDM1,42755000,42755007
CHRNA6,Homo sapiens,8,PRRX1,42755012,42755018
CHRNA6,Homo sapiens,8,Prdm4,42755022,42755033
CHRNA6,Homo sapiens,8,EGR4,42755032,42755043
CHRNA6,Homo sapiens,8,MZF1,42755035,42755043
CHRNA6,Homo sapiens,8,OTX1,42755038,42755044
CHRNA6,Homo sapiens,8,PRDM1,42755058,42755065
CHRNA6,Homo sapiens,8,OTX1,42755070,42755076
CHRNA6,Homo sapiens,8,PRDM1,42755081,42755088
CHRNA6,Homo sapiens,8,PGR,42755088,42755097
CHRNA6,Homo sapiens,8,OTX1,42755112,42755118
CHRNA6,Homo sapiens,8,OTX1,42755120,42755126
CHRNA6,Homo sapiens,8,OTX2,42755120,42755127
CHRNA6,Homo sapiens,8,MZF1,42755121,42755129
CHRNA6,Homo sapiens,8,PRDM9,42755122,42755142
CHRNA6,Homo sapiens,8,EGR1,42755124,42755134
CHRNA6,Homo sapiens,8,OTX2,42755151,42755158
CHRNA6,Homo sapiens,8,OTX1,42755152,42755158
CHRNA6,Homo sapiens,8,GRHL2,42755156,42755164
CHRNA6,Homo sapiens,8,PROX1,42755169,42755181
CHRNA6,Homo sapiens,8,DPRX,42755178,42755187
CHRNA6,Homo sapiens,8,PRRX2,42755180,42755187
CHRNA6,Homo sapiens,8,OTX1,42755181,42755187
CHRNA6,Homo sapiens,8,PRRX1,42755181,42755187
CHRNA6,Homo sapiens,8,PRRX2,42755181,42755188
CHRNA6,Homo sapiens,8,PROP1,42755181,42755192
CHRNA6,Homo sapiens,8,PGR,42755214,42755223
CHRNA6,Homo sapiens,8,OTX1,42755237,42755243
CHRNA6,Homo sapiens,8,PROP1,42755241,42755252
CHRNA6,Homo sapiens,8,PRRX2,42755245,42755252
CHRNA6,Homo sapiens,8,PRRX1,42755246,42755252
CHRNA6,Homo sapiens,8,PRRX1,42755250,42755256
CHRNA6,Homo sapiens,8,PRRX1,42755286,42755292
CHRNA6,Homo sapiens,8,Prdm14,42755301,42755309
CHRNA6,Homo sapiens,8,PRDM1,42755304,42755311
CHRNA6,Homo sapiens,8,EGR2,42755328,42755339
CHRNA6,Homo sapiens,8,EGR3,42755328,42755339
CHRNA6,Homo sapiens,8,EGR4,42755328,42755339
CHRNA6,Homo sapiens,8,PRRX2,42755399,42755406
CHRNA6,Homo sapiens,8,PRRX2,42755404,42755411
CHRNA6,Homo sapiens,8,MZF1,42755407,42755415
CHRNA6,Homo sapiens,8,OTX2,42755409,42755416
CHRNA6,Homo sapiens,8,OTX1,42755410,42755416
CHRNA6,Homo sapiens,8,Prdm14,42755414,42755422
CHRNA6,Homo sapiens,8,OTX1,42755437,42755443
CHRNA6,Homo sapiens,8,DPRX,42755437,42755446
CHRNA6,Homo sapiens,8,PRRX2,42755439,42755446
CHRNA6,Homo sapiens,8,OTX1,42755440,42755446
CHRNA6,Homo sapiens,8,PRRX1,42755440,42755446
CHRNA6,Homo sapiens,8,PRRX2,42755440,42755447
CHRNA6,Homo sapiens,8,MZF1,42755464,42755472
CHRNA6,Homo sapiens,8,MZF1,42755469,42755477
CHRNA6,Homo sapiens,8,Prdm14,42755490,42755498
CHRNA6,Homo sapiens,8,DPRX,42755510,42755519
CHRNA6,Homo sapiens,8,OTX1,42755513,42755519
CHRNA6,Homo sapiens,8,OTX2,42755544,42755551
CHRNA6,Homo sapiens,8,OTX1,42755545,42755551
CHRNA6,Homo sapiens,8,OTX1,42755557,42755563
CHRNA6,Homo sapiens,8,PRRX1,42755584,42755590
CHRNA6,Homo sapiens,8,OTX1,42755590,42755596
CHRNA6,Homo sapiens,8,PROP1,42755590,42755601
CHRNA6,Homo sapiens,8,PRRX1,42755595,42755601
CHRNA6,Homo sapiens,8,MZF1,42755625,42755633
CHRNA6,Homo sapiens,8,OTX1,42755628,42755634
CHRNA6,Homo sapiens,8,PRRX1,42755704,42755710
CHRNA6,Homo sapiens,8,PRDM1,42755725,42755732
CHRNA6,Homo sapiens,8,Lef1,42755801,42755809
CHRNA6,Homo sapiens,8,EGR4,42755817,42755828
CHRNA6,Homo sapiens,8,EGR4,42755821,42755832
CHRNA6,Homo sapiens,8,PRRX1,42755838,42755844
CHRNA6,Homo sapiens,8,Prdm15,42755846,42755857
CHRNA6,Homo sapiens,8,PRRX1,42755855,42755861
CHRNA6,Homo sapiens,8,Prdm15,42755867,42755878
CHRNA6,Homo sapiens,8,OTX1,42755898,42755904
CHRNA6,Homo sapiens,8,PRRX1,42755898,42755904
CHRNA6,Homo sapiens,8,OTX2,42755898,42755905
CHRNA6,Homo sapiens,8,EGR1,42755940,42755950
CHRNA6,Homo sapiens,8,PGR,42755942,42755951
CHRNA6,Homo sapiens,8,OTX1,42755950,42755956
CHRNA6,Homo sapiens,8,PRRX1,42755950,42755956
CHRNA6,Homo sapiens,8,OTX1,42755961,42755967
CHRNA6,Homo sapiens,8,DPRX,42755962,42755971
CHRNA6,Homo sapiens,8,OTX1,42755965,42755971
CHRNA6,Homo sapiens,8,PRRX1,42755965,42755971
CHRNA6,Homo sapiens,8,OTX2,42755965,42755972
CHRNA6,Homo sapiens,8,DPRX,42755987,42755996
CHRNA6,Homo sapiens,8,PRRX1,42755990,42755996
CHRNA6,Homo sapiens,8,PROP1,42755990,42756001
CHRNA6,Homo sapiens,8,Lef1,42755991,42755999
CHRNA6,Homo sapiens,8,PRRX1,42755995,42756001
CHRNA6,Homo sapiens,8,PROX1,42756021,42756033
CHRNA6,Homo sapiens,8,MZF1,42756033,42756041
CHRNA6,Homo sapiens,8,Lef1,42756094,42756102
CHRNA6,Homo sapiens,8,PGR,42756097,42756106
CHRNA6,Homo sapiens,8,GRHL2,42756099,42756107
CHRNA6,Homo sapiens,8,GRHL2,42756152,42756160
CHRNA6,Homo sapiens,8,MZF1,42756183,42756191
CHRNA6,Homo sapiens,8,PGR,42756186,42756195
CHRNA6,Homo sapiens,8,EGR1,42756191,42756201
CHRNA6,Homo sapiens,8,EGR2,42756194,42756205
CHRNA6,Homo sapiens,8,EGR3,42756194,42756205
CHRNA6,Homo sapiens,8,EGR4,42756194,42756205
CHRNA6,Homo sapiens,8,EGR1,42756195,42756205
CHRNA6,Homo sapiens,8,PGR,42756249,42756258
CHRNA6,Homo sapiens,8,PRDM1,42756256,42756263
CHRNA6,Homo sapiens,8,OTX1,42756261,42756267
CHRNA6,Homo sapiens,8,DPRX,42756261,42756270
CHRNA6,Homo sapiens,8,Prdm5,42756264,42756275
CHRNA6,Homo sapiens,8,PGR,42756273,42756282
CHRNA6,Homo sapiens,8,GRHL2,42756275,42756283
CHRNA6,Homo sapiens,8,MZF1,42756310,42756318
CHRNA6,Homo sapiens,8,Lef1,42756326,42756334
CHRNA6,Homo sapiens,8,PRDM1,42756354,42756361
CHRNA6,Homo sapiens,8,PGR,42756373,42756382
CHRNA6,Homo sapiens,8,OTX1,42756375,42756381
CHRNA6,Homo sapiens,8,PRDM1,42756384,42756391
CHRNA6,Homo sapiens,8,PRRX1,42756430,42756436
CHRNA6,Homo sapiens,8,PRRX1,42756435,42756441
CHRNA6,Homo sapiens,8,OTX2,42756449,42756456
CHRNA6,Homo sapiens,8,OTX1,42756450,42756456
CHRNA6,Homo sapiens,8,DPRX,42756450,42756459
CHRNA6,Homo sapiens,8,PRRX1,42756453,42756459
CHRNA6,Homo sapiens,8,PROP1,42756453,42756464
CHRNA6,Homo sapiens,8,OTX2,42756457,42756464
CHRNA6,Homo sapiens,8,OTX1,42756458,42756464
CHRNA6,Homo sapiens,8,PRRX1,42756458,42756464
CHRNA6,Homo sapiens,8,OTX1,42756462,42756468
CHRNA6,Homo sapiens,8,PRRX1,42756462,42756468
CHRNA6,Homo sapiens,8,OTX2,42756462,42756469
CHRNA6,Homo sapiens,8,OTX1,42756489,42756495
CHRNA6,Homo sapiens,8,PRRX1,42756489,42756495
CHRNA6,Homo sapiens,8,PRDM1,42756494,42756501
CHRNA6,Homo sapiens,8,GRHL2,42756501,42756509
